USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.3  25348 14404 ?        Ss   Oct26   0:04 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    Oct26   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    Oct26   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-rcu_gp]
root           5  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-sync_wq]
root           6  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-kvfree_rcu_reclaim]
root           7  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-netns]
root          12  0.0  0.0      0     0 ?        I    Oct26   0:00 [kworker/u8:0-ipv6_addrconf]
root          13  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-mm_percpu_wq]
root          14  0.0  0.0      0     0 ?        S    Oct26   0:04 [ksoftirqd/0]
root          15  0.0  0.0      0     0 ?        I    Oct26   0:06 [rcu_sched]
root          16  0.0  0.0      0     0 ?        S    Oct26   0:00 [rcu_exp_par_gp_kthread_worker/0]
root          17  0.0  0.0      0     0 ?        S    Oct26   0:00 [rcu_exp_gp_kthread_worker]
root          18  0.0  0.0      0     0 ?        S    Oct26   0:00 [migration/0]
root          19  0.0  0.0      0     0 ?        S    Oct26   0:00 [cpuhp/0]
root          20  0.0  0.0      0     0 ?        S    Oct26   0:00 [cpuhp/1]
root          21  0.0  0.0      0     0 ?        S    Oct26   0:00 [migration/1]
root          22  0.0  0.0      0     0 ?        S    Oct26   0:04 [ksoftirqd/1]
root          24  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/1:0H-events_highpri]
root          29  0.0  0.0      0     0 ?        S    Oct26   0:00 [kdevtmpfs]
root          30  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-inet_frag_wq]
root          31  0.0  0.0      0     0 ?        I    Oct26   0:00 [rcu_tasks_kthread]
root          32  0.0  0.0      0     0 ?        I    Oct26   0:00 [rcu_tasks_rude_kthread]
root          33  0.0  0.0      0     0 ?        I    Oct26   0:00 [rcu_tasks_trace_kthread]
root          34  0.0  0.0      0     0 ?        S    Oct26   0:00 [kauditd]
root          35  0.0  0.0      0     0 ?        S    Oct26   0:00 [khungtaskd]
root          36  0.0  0.0      0     0 ?        S    Oct26   0:00 [oom_reaper]
root          37  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-writeback]
root          38  0.0  0.0      0     0 ?        S    Oct26   0:08 [kcompactd0]
root          39  0.0  0.0      0     0 ?        SN   Oct26   0:00 [ksmd]
root          40  0.0  0.0      0     0 ?        SN   Oct26   0:02 [khugepaged]
root          41  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-kblockd]
root          42  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-blkcg_punt_bio]
root          43  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-kintegrityd]
root          44  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-tpm_dev_wq]
root          45  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-edac-poller]
root          46  0.0  0.0      0     0 ?        I    Oct26   0:00 [kworker/u8:1]
root          47  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-devfreq_wq]
root          48  0.0  0.0      0     0 ?        S    Oct26   0:00 [watchdogd]
root          49  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/0:1H-kblockd]
root          50  0.0  0.0      0     0 ?        S    Oct26   0:01 [kswapd0]
root          59  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-kthrotld]
root          61  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/12-pciehp]
root          62  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/13-pciehp]
root          63  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/14-pciehp]
root          64  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/15-pciehp]
root          65  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/16-pciehp]
root          66  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/17-pciehp]
root          67  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/18-pciehp]
root          68  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/19-pciehp]
root          69  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/20-pciehp]
root          70  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/21-pciehp]
root          71  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/22-pciehp]
root          72  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/23-pciehp]
root          73  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/24-pciehp]
root          74  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/25-pciehp]
root          75  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/26-pciehp]
root          76  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/27-pciehp]
root          77  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/28-pciehp]
root          78  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/29-pciehp]
root          79  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/30-pciehp]
root          80  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/31-pciehp]
root          81  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/32-pciehp]
root          82  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/33-pciehp]
root          83  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/34-pciehp]
root          84  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/35-pciehp]
root          85  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/36-pciehp]
root          86  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/37-pciehp]
root          87  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/38-pciehp]
root          88  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/39-pciehp]
root          89  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/40-pciehp]
root          90  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/41-pciehp]
root          91  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/42-pciehp]
root          92  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/43-pciehp]
root          93  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-acpi_thermal_pm]
root          94  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-mld]
root          95  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-ipv6_addrconf]
root          96  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/1:1H-kblockd]
root         101  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-kstrp]
root         107  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/u11:0]
root         108  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/u12:0-ttm]
root         236  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/46-vmwgfx]
root         237  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/47-vmwgfx]
root         238  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/48-vmwgfx]
root         240  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/49-vmwgfx]
root         241  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/50-vmwgfx]
root         242  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/51-vmwgfx]
root         243  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-ttm]
